version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Leader,system_prompt.md,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Baseline run,Baseline run without prompt fixes,case_accuracy,0.70,0.70,runs/v0_B_base_openrouter_20260729T095622647299.json
v1,Leader,system_prompt.md,v1+p358c30c63555+t83dbdbca9ec3,358c30c635555df329ee4b3eb79275ee399be3948bac61d4f0408b9573e4f3b0,83dbdbca9ec316dc31b68e87021207ced620ba798aa9d7188effd42451d265fc,Fix out-of-scope and clarify boundary,Set rules for out-of-scope and missing info clarify,case_accuracy,0.70,0.80,runs/v1_B_base_openrouter_20260729T100653301084.json
v2,Leader,system_prompt.md,v2+p7eac51ba7a5d+t83dbdbca9ec3,7eac51ba7a5d44c8a971c7a5205027df482f512ff061097d247b56846a3d0a98,83dbdbca9ec316dc31b68e87021207ced620ba798aa9d7188effd42451d265fc,Refine clarify & lookup rules,Over-strict social_search rule caused timeline regressions,case_accuracy,0.80,0.65,runs/v2_B_base_openrouter_20260729T101641989142.json
v3,Leader,system_prompt.md,v3+pae7dea7d1696+t83dbdbca9ec3,ae7dea7d169678b409ba65e9d1401259ff398709838bca29dd3f78d175331577,83dbdbca9ec316dc31b68e87021207ced620ba798aa9d7188effd42451d265fc,Disambiguate timeline vs social_search & extract clean query,Differentiate handle timeline vs topic search and clean query words,case_accuracy,0.65,1.00,runs/v3_B_base_openrouter_20260729T101954269937.json
